recipe_id,recipe_title,recipe_serves,recipe_reviews,recipe_steps,recipe_images
72501,Corn Stew with Chicken & Sausage,Makes: 4 to 6,['This recipe is a Community Pick!'],"['1. In a Dutch oven or large pot over medium heat, brown the sausage in the olive oil until crispy, about three minutes. Remove the sausage to a large plate and set aside. Raise the heat to medium-high and brown the chicken (in batches if necessary) on both sides until mostly cooked through, about twelve minutes total. Remove the chicken to the plate with the sausage.', '2. Turn down the heat to medium-low and add the onions, jalapeno, salt and pepper, red pepper flakes if using, and a little more oil if necessary. Stir until the onions are slightly wilted. Add the corn and tomatoes and stir until the vegetables release their juices.', '3. Nestle the chicken and sausage among the vegetables, cover, and simmer for another 5 to 10 minutes, until the chicken is cooked through.', '4. Sprinkle with the basil or thyme and serve in bowls. Squeeze with fresh lime.']",['https://images.food52.com/1ylCkfrilCxjFGeWcGxmWYbAz84=/753x502/421dce93-51a5-407b-bea7-389159666db8--2017-0804_johnsonville-corn-stew_hero_bobbi-lin_34049.jpg']
30799,Simple Brine for Pork Chops,"Makes: enough for 2 chops
                  Prep time: 8 hrs 10 min
                  Cook time: 15 min",['This recipe is a Community Pick!'],"['1. Throw all the ingredients (minus the ice cubes and the chops) into a saucepan and cook over medium heat, stirring until the salt and sugar dissolve. Remove from heat and stir in ice cubes.', '2. Once brine is totally cool, place chops in a ziplock bag and allow them to brine in the fridge overnight (about 8 hours). Before cooking, pat them dry and allow them to come to room temp. Cook the same way as the chops above.']","['https://images.food52.com/L1UipZb9V9pDuwXLqb1ffYyaiho=/753x502/bd0eb692-8544-4b8e-96d1-a0844e4c2226--how-to-brine-pork-chops_food52_mark_weinberg_14-09-02_0052.jpg', 'https://images.food52.com/-wx9KyfQLVx9YTctEVJBPojHCAI=/753x502/9db6ec5c-8d1c-403b-a0ff-db63ad0f92e2--how-to-brine-pork-chops_food52_mark_weinberg_14-09-02_0051.jpg']"
20884,Oolong and Rosemary-Brined Boneless Pork Chops,Serves: 4,['This recipe was entered in the contest for Your Best Recipe with Tea'],"[""1. Add the sugar, salt, rosemary and peppercorns to the tea and let cool. (If you're pressed for time, brew the tea double strength and cool it down with some ice cubes). Immerse the pork chops in the brine and refrigerate for 1 1/2 to 2 hours. If it goes a little longer, that's OK."", ""2. When ready, fire up the grill. Remove the chops form the brine and pat dry. Grill over high heat until you see the sides of the chops beginning to get done, flip, and cook on the other side for the same amount of time, maybe 4-5 minutes a side depending on the heat of your grill. You can check the temperature at this point; the FDA says 145 degrees is good so a little shy of that works fine because they will continue to cook. Remove and let sit for 5-7 minutes before serving with roasted potatoes and something green. If you'd like an elegant echo, drink some iced oolong with it; if not, Tsingtao is equally lovely.""]",['https://images.food52.com/r1dHKFNBnIwpmCIjM5ki7SUOW78=/753x502/034386ac-6b97-4f5b-a021-e49295ec06bd--Grilled-Pork-Chops-2.jpg']
14733,Cider-Orange Brined Pork Tenderloin with Fruit Compote,Serves: 4-6,"['This recipe is a Community Pick!', 'This recipe was entered in the contest for Your Best Show-Stopping Holiday Main', 'This recipe was entered in the contest for Your Best Holiday Roast', 'This recipe was entered in the contest for Your Best Recipe for When You Want It to Feel Like Fall']","['1. Remove the silver skin from the pork tenderloins.', '2. Heat 2 cups of cider with the sugar and kosher salt until dissolved.  Put into a bowl large enough to hold the tenderloins.  Add the remaining cup of cold cider, orange juice, sprig of rosemary and peppercorns and stir.  Add the two tenderloins, cover with plastic wrap and refrigerate for 1-2 hours.', '3. Preheat oven to 425.', '4. Remove the tenderloins from the brining mixture.  Rinse well and pat dry with paper towels.', '5. In a food processor, combine rosemary leaves (leaves?), garlic, tangerine zest, sea salt and fresh ground pepper.  Combine until you have a thick paste.  With the processor running, gradually add the olive oil.', '6. Rub the outside of the tenderloins generously with the herb mixture.  Place tenderloins in a roasting pan (and feel free to use a rack if you have one) just big enough to hold both and roast until done - about 40 minutes or so.  Check earlier rather than later because there is nothing worse than an overdone tenderloin...with the possible exception of roast beef but only because it costs more.', '7. Remove tenderloins and tent with foil for 10-15 minutes.  Slice thinly and serve with compote.  Sit back and enjoy the accolades!', '8. Combine all of the ingredients in a wide sauce pan.  Gently boil for 15 minutes with the lid on and then remove and boil until most of the liquid has evaporated - about 20 more minutes.', '9. Remove the tangerine peel and serve the compote with the pork tenderloin']","['https://images.food52.com/vDNAFcpWU05VmEKnZkmpFxaluaA=/753x502/d1375dd7-291b-4e15-87cc-f92b85213159--tenderloin1.jpg', 'https://images.food52.com/D_rSnp4cb59ul_FlUz325FAs1rM=/753x502/4472c2d1-902a-4fba-b6ad-010081c96d0e--tenderloin1.jpg']"
2773,Baked Pasta with Cauliflower and Chard,Serves: 4-6,"['This recipe is a Community Pick!', 'This recipe was entered in the contest for Your Best Baked Pasta']","['1. Warm the oven to 360 F.', '2. Cook the cauliflower in boiling water for 7-10 minutes. \r\nIn the same water cook the pasta just shy of al dente.', '3. In the meantime put 2 tablespoons in skillet and saut\xc3\xa9 the onions with a bit of salt for 5 minutes or so. Wash the chard, discard the white stems and tear to medium pieces. Add to the skillet and saut\xc3\xa9 until wilted. Add the garlic, nut meg and some pepper. Saut\xc3\xa9 for 1 minute or so and take off the stove.', '4. In a bowl mix the cream, eggs, cauliflower, pasta, chard mixture, teaspoon of salt and cayenne pepper. Finally add the gruyere and mix again.', '5. Pour to a baking dish and scatter the parmesan cheese on top.\r\nBake for 40 minutes until golden brown on top.']","['https://images.food52.com/T27M6_No4RZZL_TYJrcrZg6dRas=/753x502/29519191-fd16-4aa6-90b4-68055b4161d2--2016-1003_staub-zwilling_ivory-rustic-ceramic-rectangular-baking-dish_mid_linda-xiao_290.jpg', 'https://images.food52.com/HCzo-UDrBVIInZ9NC6PFo11ICKQ=/753x502/3e5e4465-fe48-4c5e-99a3-5de5d4d6199f--baked_pasta.jpg']"
23089,Warm Chicken Salad,Serves: 2,['This recipe is a Community Pick!'],"['1. Bring a medium saucepan of water to a boil and salt the water generously. Simmer the potatoes until just tender, 15 to 20 minutes. Remove the potatoes from the pan and let them cool.', '2. In a small bowl, whisk the vinegar with a few big pinches of salt and pepper to taste. Slowly drizzle in the olive oil, whisking constantly. Taste and add more salt if you like.', '3. When the potatoes are cool enough to handle, slice them into 1/2-inch rounds. Arrange the lettuce on a small platter.', '4. Put half the vinaigrette in a medium saucepan and set it over medium heat. Once it is hot, add the chicken and potatoes to the pan. Cook, turning everything over gently with a spatula every couple of minutes, until the chicken is warmed through, and both the chicken and potatoes are crisp around the edges.', '5. Drizzle a few spoonfuls of the remaining vinaigrette over the lettuce and then arrange the chicken and potatoes over the top. Sprinkle the chives over everything and serve immediately, with the remaining vinaigrette on the side.']","['https://images.food52.com/gVImHgZZpcQtBoxGy23FsYxEVQw=/753x502/4e97e789-4a16-498b-9e79-d364ea069fa5--2013-0715_warm-chicken-salad-011_copy.jpg', 'https://images.food52.com/gdRcCfgcIR7xrVje0qQTv0pVPbo=/753x502/cffcd1e7-70b0-4db8-85ca-b64f1be09e7d--2013-0715_warm-chicken-salad-003.jpg', 'https://images.food52.com/dCEppbGgMu2zdCzwlf-fCHY56_w=/753x502/f6ec2c39-f63d-47de-82c8-dbcfda60f52a--2013-0715_warm-chicken-salad-003.jpg']"
61081,Black Bean and Roasted Corn Salad,Serves: 8 to 10 as a side,['This recipe is a Community Pick!'],"['1. Brine the beans: Place the beans in a large bowl with the 3 tablespoons of salt and water to cover by several inches. Let sit overnight or for 10 to 12 hours. Drain but do not rinse. Place beans in a large pot with the remaining teaspoon of salt, the onion, thyme, and garlic. Cover with water by several inches. Bring to a boil, then reduce heat so water is gently simmering. Simmer until beans are cooked through, 45 minutes to 1 hour. Let beans cool in their cooking liquid.', '2. Preheat the oven to 425\xc2\xb0 F. Place 4 cups of the cooked beans in a large strainer or colander. Do not rinse the beans. Let the beans drain as you prepare the salad.', '3. On a rimmed sheetpan, toss the corn kernels with 1 tablespoon olive oil. Season with salt and pepper to taste. Transfer pan to oven and roast for 10 minutes. Remove pan. Let kernels cool briefly.', '4. In a large mixing bowl, place the beans, corn, peppers, onion, scallions, and cilantro. Season with 1 teaspoon kosher salt. Dress with 1/4 cup olive oil and 2 tablespoons vinegar. Toss. Let stand 5 minutes, then toss again, taste, and adjust with more salt, oil and vinegar to taste. I add salt by the 1/2 teaspoon until it tastes right, and I keep a 2-to-1 oil-to-vinegar ratio for the most part\xe2\x80\x94sometimes a splash more vinegar or a squeeze of lime at the end helps.']","['https://images.food52.com/4EIQNdFXkpBueuUNmgbHpnag-X0=/753x502/7b4dce6e-edb2-4fc2-ac5a-212dea8cf8c8--blackbeansalad.jpg', 'https://images.food52.com/KWSlZEdq_f74oz5O3BTb5WdGY9w=/753x502/6cf58d76-2f2d-4942-a4dd-5d117abc0cbe--ranchogordoblackbeans.jpg', 'https://images.food52.com/WuBN3Gj2s81igl1JYN_m1X-shCs=/753x502/4958ea35-495c-4c26-a45e-19348c602055--brinedbeans.jpg', 'https://images.food52.com/klJZOuqvFAPOCHkUrg16VvfLz9A=/753x502/f04e4bdc-2669-4bea-a45b-8a5c8bbae709--drainedblackbeans.jpg', 'https://images.food52.com/VP3i2a0qGclVCvpaUbPMxfmObuo=/753x502/81d6490c-01cc-47bc-8ae0-2929c36932e3--ingredients.jpg', 'https://images.food52.com/gXNWNaBbGms0b3zbjGUWLu29h3g=/753x502/a2e8253c-9cfe-4fd4-8dfd-b4fa7eda9c67--allchoppedup.jpg', 'https://images.food52.com/Gteifis_CE9MgHC_v52_p7NSLNw=/753x502/3254fc05-2a6c-49cd-a69b-2a8518f0f719--alltossedtogether.jpg']"
22184,Coconut-Lime Pork Tacos with Black Beans and Avocado,"Serves: 4 to 6
                  Prep time: 5 min
                  Cook time: 15 min",[],"['1. In a large skillet, heat one tablespoon of olive oil over medium heat. Add onion, garlic, and a large pinch of salt and pepper; cook, stirring occasionally, until they\xe2\x80\x99ve softened, about 3 to 5 minutes. Push the onion and garlic to one side of the pan, and add the cumin, chili powder, paprika, oregano, and cayenne. Let sizzle in the pan until they\xe2\x80\x99re toasted and fragrant, about 1 minute, then stir well until the onions and garlic are evenly coated with the spices.', '2. Add the ground pork to the pan. Cook over medium-high heat, breaking up any large chunks of pork and stirring occasionally, until the pork is just cooked through.  Season with salt to taste. Remove any excess fat from the pan.', '3. Add the coconut milk; simmer for about 5 minutes until thickened, then stir in the black beans, pineapple juice and 1 tablespoon lime juice and cook for an additional minute or two. Taste and add more lime juice if needed. Adjust the seasoning to taste. You can serve right away, or cover the pan and let the pork gently simmer over low heat.', '4. Using a slotted spoon, divide the ground pork equally among lightly warmed flour tortillas. Serve with lots of avocado and other toppings of your choice.']","['https://images.food52.com/Sabgb6z6S6DmTcDAvYYtN0qew2w=/753x502/e2190977-20c2-47e3-9a20-093f78ada351--2013-0604_pork-tacos-304.jpg', 'https://images.food52.com/P24P6wWQ-z4qLxe00S9mJFuYI-A=/620x413/8f062bc4-3f67-48e9-a784-60b3d60641a1--2013-0604_pork-tacos-307.jpg', 'https://images.food52.com/wKvmtM-2VleBX1-yRirosDUXP9s=/620x413/64940ce2-2d9e-4c7a-a4df-b2d3083edc0d--2013-0604_pork-tacos_011.jpg', 'https://images.food52.com/iAVoQeMFGiEnacT8_jxLDADLiPc=/620x413/a8d208c6-2bd2-4236-a142-68eb9d26cd43--2013-0604_pork-tacos_022.jpg', 'https://images.food52.com/UIXvMYr46dqUnqtnAUJ8id2bglU=/620x413/acf3f694-3b91-4de0-aab8-f3b8b2a86510--2013-0604_pork-tacos_042.jpg', 'https://images.food52.com/C9jfSeJbU8Oc4wi7EOMvLLCk-xo=/620x413/2f9ad197-9864-49c0-a120-8c48793b9c62--2013-0604_pork-tacos_093.jpg', 'https://images.food52.com/WR5cIVocZbefBJTBQ3LeLbl_up4=/620x413/b90fbf72-6372-45ba-ad61-5b0fe8a49cf3--2013-0604_pork-tacos_132.jpg', 'https://images.food52.com/X0pzEY6GZSbwgARf4CSaarJp7Sw=/620x413/dbc8a36c-25e3-42f6-8637-ee3d0f1c0b6c--2013-0604_pork-tacos_149.jpg', 'https://images.food52.com/hgXlgF2zYAxmnE7BcjAiVUwV43c=/620x413/87000a1e-992a-4447-ba2e-98bf6f2bf96b--2013-0604_pork-tacos_194.jpg', 'https://images.food52.com/avYw2WVQnXNVBGtLVSlXshXbNuM=/620x413/fe7f0616-238c-499b-bac0-04601dcc69d5--2013-0604_pork-tacos_231.jpg', 'https://images.food52.com/PXeCLyBVDxEbg2K0kN5RkZM010Q=/620x413/ca5a7abe-c81a-4858-a30d-24f9b7ab4f28--2013-0604_pork-tacos_242.jpg', 'https://images.food52.com/8dbha3a5_LBri7-vQmxQ6_0aaaw=/620x413/5ca914b6-c4b2-4ee6-ab69-b34a0846ebd4--2013-0604_pork-tacos_249.jpg', 'https://images.food52.com/I8m6wh24-rYNgEmzPbaOmDX4LPg=/620x413/d31da125-a16a-434f-9aed-da9c2f5b2581--2013-0604_pork-tacos_283.jpg', 'https://images.food52.com/ReMM4Vq6w1zFblnRuJ70aXUGDm0=/620x413/f65e34e6-013d-4ebc-b163-484e422d6ffa--2013-0604_pork-tacos-304.jpg']"
60026,"Tomato, Peach, Chèvre, and Herb Salad with Apple Vinaigrette",Serves: 2 to 4,"['This recipe is a Community Pick!', 'This recipe was entered in the contest for Your Best Recipe for Savory Stone Fruit', 'This recipe was entered in the contest for Your Best Fresh Tomato Showstopper']","['1. Slice the tomatoes and lay them on a platter. Slide the peach slivers in and around the tomatoes and then sprinkle the goat cheese, herbs and shallots all over the top.', '2. In a small bowl, whisk together the oil and vinegar and season well with salt and pepper. Drizzle all over the salad and enjoy!']","['https://images.food52.com/HjGeQXG7GL46O98R7Qfv0YJsrOc=/753x502/ebbfe453-288e-4bbc-9ba1-3e38c5a37af9--2016-0906_tomato-peach-chevre-and-herb-salad_james-ransom-061.jpg', 'https://images.food52.com/o6Or8GmozAOXQBGboiCFIX-MCZY=/753x502/928de0ca-ecba-498c-b07a-91b76d57baf2--IMG_5323_2.JPG', 'https://images.food52.com/Xq0QegvzPHT7F1zv-lR6rY2zBuA=/753x502/941bff29-8d84-447c-bea9-241167f7c32d--salade.jpeg']"
21136,Rustic Beet Tart and Wilted Greens,Serves: 4,"['This recipe is a Community Pick!', 'This recipe was entered in the contest for Your Best Cheap Feast']","['1. Remove the greens from the beets, wash, and set aside.', ""2. Scrub the beets. Most recipies have you roast and then peel your beets, but I peel mine first and then roast them. It's easier to handle them when they aren't slippery, and I lose less of their delicious flesh. But use your prefered method."", ""3. Place each beet on a small square of aluminum foil, drizzle with olive oil, and wrap in the foil. Bake at 400 degrees anywhere from 30 minutes to an hour, depending on the size of your beets. They're done when they are knife tender and can be pierced with the tip of a paring knife with ease."", '4. Once the beets are knife tender, remove them from the oven and set aside to cool.', '5. While the beets cool, roll the puff pastry out until you have a rough 10-inch square. Transfer the sqare to a parchment-lined baking sheet.', '6. Roll in the edges of the pastry about an inch on all 4 sides so that you have a delicious pastry wall. Use a little water to seal the edges. You want to make sure that the custard doesn\'t leak out when poured into the ""shell"".', '7. Combine the egg and the goat cheese with salt, pepper and nutmeg. Slowly add the milk or cream, stiring until you have a thick but pourable consistency. It should be no thinner than pancake batter.', '8. Slice the beets into rounds. You should get 5 or 6 rounds from each beet.', '9. Pour the custard into the pastry shell, then lay the beets on top, being careful not to overflow the pastry shell.', '10. Bake at 400 until the pastry is golden, the custard is set, and the top is just a little brown.', '11. About 5 minutes before you pull the tart out of the oven, heat a small amount of oil in a large saute pan. Roughly chop the beet greens and saute them until wilted, adding salt and pepper to taste. (We liked these served on top of the tart, but you can also serve them as a simple side dish.)']",['https://images.food52.com/JinNObSrTQvGEJzG551_fV57zNE=/753x502/94026521-e626-45c2-b69d-e0b252f2ddec--BF_BeetTart2.jpeg']
